Log_ID,Timestamp,Equipment_ID,Equipment_Type,Location,Operator_Shift_Hours,Payload_Weight_lbs,Reported_Incident,Is_Violation,Violation_Type,Expected_Section
LOG-1033,2026-03-29 08:12,YAR-96,Yard Hostler,Wheel Shop,9.0,45774,Tyre inflated inside the cage by a trained servicer,0,None,None
LOG-1034,2026-03-29 09:58,GAN-59,Gantry Crane,Bay 4,10.0,25464,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1035,2026-03-29 13:00,YAR-31,Yard Hostler,Intermodal Ramp,6.3,49693,No exception noted,0,None,None
LOG-1036,2026-03-29 12:00,REA-35,Reach Stacker,Container Stack Row C,9.6,30353,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1037,2026-03-29 13:24,TER-73,Terminal Tractor,High-Voltage Line B,8.3,34644,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1038,2026-03-29 14:14,TER-13,Terminal Tractor,Rail Siding 3,8.2,56139,No exception noted,0,None,None
LOG-1039,2026-03-29 09:15,CON-98,Container Handler,Intermodal Ramp,11.1,12501,Daily truck inspection completed with no defects found,0,None,None
LOG-1040,2026-03-29 16:00,CON-86,Container Handler,Maintenance Track,6.3,13984,"Circuit de-energised before work, so no live-work equipment was needed",0,None,None
LOG-1041,2026-03-29 08:44,FOR-29,Forklift,Bay 4,10.0,61669,No exception noted,0,None,None
LOG-1042,2026-03-29 07:24,TER-43,Terminal Tractor,Rail Siding 3,7.6,58711,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1043,2026-03-29 16:45,GAN-40,Gantry Crane,High-Voltage Line B,11.2,37825,Work performed on an energised circuit without insulating gloves issued,1,electrical_ppe,1910.335
LOG-1044,2026-03-29 14:04,YAR-73,Yard Hostler,Bay 2,9.7,57216,No exception noted,0,None,None
LOG-1045,2026-03-29 13:30,FOR-65,Forklift,Intermodal Ramp,10.6,57439,"Catenary confirmed de-energised, grounded and tagged before the lift",0,None,None
LOG-1046,2026-03-29 15:58,GAN-23,Gantry Crane,High-Voltage Line B,11.1,32127,Elevated platform rail installed well below the required height,1,guardrail,1910.29
LOG-1047,2026-03-29 17:45,CON-23,Container Handler,Container Stack Row C,6.8,48057,Sling inspected before the lift with its capacity tag legible,0,None,None
LOG-1048,2026-03-29 18:00,TER-67,Terminal Tractor,Maintenance Track,7.6,15059,Container transferred and seals verified against the manifest,0,None,None
LOG-1049,2026-03-29 17:26,CON-28,Container Handler,Main Pedestrian Crosswalk,8.5,34923,No exception noted,0,None,None
LOG-1050,2026-03-29 12:40,FOR-22,Forklift,Container Stack Row C,9.3,58513,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1051,2026-03-29 08:33,TER-48,Terminal Tractor,Loading Dock 2,9.4,52299,Open-sided stairway to the ramp office missing its handrail,1,stairway,1910.25
LOG-1052,2026-03-29 18:08,TER-19,Terminal Tractor,High-Voltage Line B,7.2,64111,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1053,2026-03-29 10:25,TER-91,Terminal Tractor,Rail Siding 3,8.0,16697,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1054,2026-03-29 18:36,YAR-31,Yard Hostler,Main Pedestrian Crosswalk,10.8,13818,Washdown runoff captured by the oil-water separator drain,0,None,None
LOG-1055,2026-03-29 18:50,CON-40,Container Handler,Bay 1,8.0,15357,No exception noted,0,None,None
LOG-1056,2026-03-29 20:00,CON-31,Container Handler,Intermodal Ramp,8.0,29045,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1057,2026-03-29 10:45,TER-28,Terminal Tractor,High-Voltage Line B,9.5,27704,No exception noted,0,None,None
LOG-1058,2026-03-29 17:36,GAN-83,Gantry Crane,Wheel Shop,11.7,11985,Rim wheel serviced without deflating and without a restraining cage,1,rim_wheel,1910.177
LOG-1059,2026-03-29 16:49,TER-33,Terminal Tractor,Loading Dock 2,8.1,60681,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1060,2026-03-29 08:00,GAN-35,Gantry Crane,High-Voltage Line B,6.1,15612,No exception noted,0,None,None
LOG-1061,2026-03-29 10:04,REA-38,Reach Stacker,Bay 2,11.3,33660,Damaged sling removed from service and destroyed,0,None,None
LOG-1062,2026-03-29 14:16,GAN-63,Gantry Crane,Wheel Shop,6.7,10266,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1063,2026-03-29 11:15,TER-10,Terminal Tractor,Bay 1,8.5,23877,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1064,2026-03-29 09:12,CON-52,Container Handler,Loading Dock 2,6.9,17852,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1065,2026-03-29 21:10,CON-67,Container Handler,High-Voltage Line B,8.6,41015,No exception noted,0,None,None
LOG-1066,2026-03-29 17:00,TER-91,Terminal Tractor,Wheel Shop,12.0,13104,No exception noted,0,None,None
LOG-1067,2026-03-29 19:24,TER-65,Terminal Tractor,Container Stack Row C,11.7,17063,Container transferred and seals verified against the manifest,0,None,None
LOG-1068,2026-03-29 12:48,YAR-24,Yard Hostler,High-Voltage Line B,9.1,44003,Lift planned with the boom kept outside the approach boundary,0,None,None
LOG-1069,2026-03-29 20:57,FOR-40,Forklift,Container Stack Row C,9.7,57710,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1070,2026-03-29 22:20,REA-15,Reach Stacker,Wheel Shop,8.9,48326,Container transferred and seals verified against the manifest,0,None,None
LOG-1071,2026-03-29 14:17,TER-87,Terminal Tractor,Bay 4,9.6,20658,Wire rope sling with twelve broken wires in one lay kept in the active lift,1,sling,1910.184
LOG-1072,2026-03-29 14:24,FOR-99,Forklift,Bay 2,9.3,29839,No exception noted,0,None,None
LOG-1073,2026-03-29 19:23,TER-82,Terminal Tractor,Container Stack Row C,9.0,19348,Aisle kept clear and stacks squared during the transfer,0,None,None
LOG-1074,2026-03-29 23:16,YAR-41,Yard Hostler,Maintenance Track,6.1,34993,Panel cover refitted and the enclosure secured after the work,0,None,None
LOG-1075,2026-03-29 09:45,REA-45,Reach Stacker,High-Voltage Line B,10.7,39100,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1076,2026-03-29 21:12,TER-13,Terminal Tractor,Maintenance Track,7.2,23451,No exception noted,0,None,None
LOG-1077,2026-03-29 09:51,TER-35,Terminal Tractor,Container Stack Row C,8.2,20329,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1078,2026-03-29 17:42,CON-36,Container Handler,Bay 4,10.6,41453,No exception noted,0,None,None
LOG-1079,2026-03-29 21:48,FOR-19,Forklift,Main Pedestrian Crosswalk,8.2,55958,Container transferred and seals verified against the manifest,0,None,None
LOG-1080,2026-03-29 16:40,CON-83,Container Handler,Wheel Shop,10.3,58383,No exception noted,0,None,None
LOG-1081,2026-03-29 08:42,YAR-46,Yard Hostler,High-Voltage Line B,10.9,19482,No exception noted,0,None,None
LOG-1082,2026-03-29 19:40,FOR-96,Forklift,Loading Dock 2,7.1,25302,Sling inspected before the lift with its capacity tag legible,0,None,None
LOG-1083,2026-03-30 02:45,CON-12,Container Handler,Rail Siding 3,7.2,27000,No exception noted,0,None,None
LOG-1084,2026-03-29 21:24,FOR-36,Forklift,Rail Siding 3,9.5,15824,No exception noted,0,None,None
LOG-1085,2026-03-29 08:50,TER-86,Terminal Tractor,Bay 4,6.5,12559,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1086,2026-03-29 11:44,YAR-26,Yard Hostler,High-Voltage Line B,8.9,50454,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1087,2026-03-29 08:54,FOR-67,Forklift,Bay 1,9.7,30215,No exception noted,0,None,None
LOG-1088,2026-03-29 20:40,TER-96,Terminal Tractor,High-Voltage Line B,10.0,34431,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1089,2026-03-29 11:56,CON-17,Container Handler,High-Voltage Line B,8.5,54457,"Circuit de-energised before work, so no live-work equipment was needed",0,None,None
LOG-1090,2026-03-29 09:00,TER-60,Terminal Tractor,Loading Dock 2,7.3,28477,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1091,2026-03-30 01:43,TER-70,Terminal Tractor,Container Stack Row C,9.0,57134,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1092,2026-03-30 03:28,YAR-31,Yard Hostler,High-Voltage Line B,11.8,52262,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1093,2026-03-30 03:42,GAN-13,Gantry Crane,Loading Dock 2,6.4,21526,Portable dockboard shifted under the forklift with no securing device fitted,1,dockboard,1910.26
LOG-1094,2026-03-29 15:24,REA-58,Reach Stacker,Bay 2,9.0,22263,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1095,2026-03-29 10:45,CON-78,Container Handler,Main Pedestrian Crosswalk,11.5,56137,No exception noted,0,None,None
LOG-1096,2026-03-30 06:00,TER-58,Terminal Tractor,Bay 2,10.0,30259,Sling inspected before the lift with its capacity tag legible,0,None,None
LOG-1097,2026-03-29 17:19,FOR-15,Forklift,Loading Dock 2,6.6,26033,No exception noted,0,None,None
LOG-1098,2026-03-29 14:10,GAN-70,Gantry Crane,Bay 1,10.6,50043,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1099,2026-03-30 05:06,GAN-95,Gantry Crane,Wheel Shop,6.4,40110,Guardrail height and toeboard verified during inspection,0,None,None
LOG-1100,2026-03-29 22:40,GAN-58,Gantry Crane,Wheel Shop,11.6,62967,No exception noted,0,None,None
LOG-1101,2026-03-29 09:22,FOR-67,Forklift,Container Stack Row C,10.6,62705,No exception noted,0,None,None
LOG-1102,2026-03-29 09:24,CON-71,Container Handler,Container Stack Row C,9.5,36982,No exception noted,0,None,None
LOG-1103,2026-03-29 11:09,YAR-71,Yard Hostler,Bay 1,10.2,49587,No exception noted,0,None,None
LOG-1104,2026-03-29 12:56,TER-46,Terminal Tractor,Container Stack Row C,9.6,46110,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1105,2026-03-30 04:45,REA-45,Reach Stacker,High-Voltage Line B,8.7,25917,No exception noted,0,None,None
LOG-1106,2026-03-29 09:32,GAN-59,Gantry Crane,Container Stack Row C,6.6,44247,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1107,2026-03-30 03:24,REA-31,Reach Stacker,Rail Siding 3,6.4,33059,Container transferred and seals verified against the manifest,0,None,None
LOG-1108,2026-03-30 07:12,YAR-73,Yard Hostler,Bay 4,7.1,31053,Crane inspection records verified before the lift began,0,None,None
LOG-1109,2026-03-29 18:43,REA-18,Reach Stacker,Rail Siding 3,7.7,10743,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1110,2026-03-29 15:10,REA-64,Reach Stacker,Maintenance Track,11.0,25830,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1111,2026-03-30 00:30,CON-78,Container Handler,Loading Dock 2,8.4,61708,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1112,2026-03-30 04:24,REA-60,Reach Stacker,Rail Siding 3,11.4,19569,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1113,2026-03-29 09:46,FOR-37,Forklift,Rail Siding 3,9.4,10391,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1114,2026-03-29 15:30,YAR-24,Yard Hostler,Loading Dock 2,6.7,33434,No exception noted,0,None,None
LOG-1115,2026-03-30 06:55,FOR-50,Forklift,Bay 4,6.3,10460,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1116,2026-03-30 07:08,CON-32,Container Handler,Main Pedestrian Crosswalk,6.9,44049,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1117,2026-03-30 05:24,REA-38,Reach Stacker,Rail Siding 3,10.9,40856,No exception noted,0,None,None
LOG-1118,2026-03-29 15:50,YAR-85,Yard Hostler,Loading Dock 2,7.3,56829,No exception noted,0,None,None
LOG-1119,2026-03-30 11:45,GAN-39,Gantry Crane,Main Pedestrian Crosswalk,8.6,57269,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1120,2026-03-29 14:00,CON-39,Container Handler,Bay 4,11.9,24588,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1121,2026-03-30 00:09,GAN-90,Gantry Crane,Container Stack Row C,8.5,47373,Container transferred and seals verified against the manifest,0,None,None
LOG-1122,2026-03-30 04:22,GAN-82,Gantry Crane,High-Voltage Line B,6.9,55261,Enclosure verified closed and guarded before re-energising,0,None,None
LOG-1123,2026-03-29 20:21,TER-73,Terminal Tractor,Maintenance Track,10.1,58833,No exception noted,0,None,None
LOG-1124,2026-03-30 04:44,GAN-29,Gantry Crane,Loading Dock 2,8.8,22877,Dockboard anchored and its rated capacity posted before transit,0,None,None
LOG-1125,2026-03-30 13:15,TER-30,Terminal Tractor,Wheel Shop,10.5,63769,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1126,2026-03-30 00:54,REA-58,Reach Stacker,Bay 2,7.1,16330,No exception noted,0,None,None
LOG-1127,2026-03-30 11:38,YAR-49,Yard Hostler,Container Stack Row C,7.8,10211,Employee working the open edge of the stack with no arrest system attached,1,fall_protection,1910.28
LOG-1128,2026-03-29 23:04,REA-65,Reach Stacker,Bay 2,10.3,18610,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1129,2026-03-29 16:45,YAR-76,Yard Hostler,Intermodal Ramp,8.0,12992,Ladder inspected before use with all rungs intact,0,None,None
LOG-1130,2026-03-29 16:50,TER-43,Terminal Tractor,Rail Siding 3,7.4,13935,No exception noted,0,None,None
LOG-1131,2026-03-29 23:28,TER-89,Terminal Tractor,Container Stack Row C,7.2,44160,Worker on the container roof tied off to a rated anchor,0,None,None
LOG-1132,2026-03-30 10:36,TER-38,Terminal Tractor,High-Voltage Line B,9.1,16570,Employee worked exposed live parts with no protective equipment in use,1,electrical_ppe,1910.335
LOG-1133,2026-03-29 10:26,GAN-22,Gantry Crane,Bay 4,11.9,41310,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1134,2026-03-30 13:16,REA-18,Reach Stacker,Intermodal Ramp,8.5,15134,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1135,2026-03-30 15:45,REA-85,Reach Stacker,Container Stack Row C,6.8,44848,Container transferred and seals verified against the manifest,0,None,None
LOG-1136,2026-03-29 10:32,YAR-34,Yard Hostler,Bay 2,6.7,18981,Container transferred and seals verified against the manifest,0,None,None
LOG-1137,2026-03-29 12:51,FOR-28,Forklift,Bay 4,8.5,27377,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1138,2026-03-29 15:12,YAR-61,Yard Hostler,Rail Siding 3,10.7,23997,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1139,2026-03-29 15:16,REA-82,Reach Stacker,Intermodal Ramp,9.7,36662,Container transferred and seals verified against the manifest,0,None,None
LOG-1140,2026-03-29 17:40,REA-30,Reach Stacker,Bay 1,6.6,18402,No exception noted,0,None,None
LOG-1141,2026-03-30 07:51,FOR-33,Forklift,Rail Siding 3,8.4,30921,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1142,2026-03-30 10:24,YAR-15,Yard Hostler,Main Pedestrian Crosswalk,7.0,29639,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1143,2026-03-30 05:50,REA-74,Reach Stacker,Bay 2,6.7,40612,Container transferred and seals verified against the manifest,0,None,None
LOG-1144,2026-03-29 22:48,FOR-72,Forklift,Loading Dock 2,11.0,63932,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1145,2026-03-30 06:10,REA-54,Reach Stacker,Wheel Shop,12.0,64229,"Circuit de-energised before work, so no live-work equipment was needed",0,None,None
LOG-1146,2026-03-29 23:02,FOR-47,Forklift,Bay 2,9.9,58139,No exception noted,0,None,None
LOG-1147,2026-03-29 23:09,CON-60,Container Handler,Wheel Shop,7.7,10131,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1148,2026-03-30 11:36,GAN-68,Gantry Crane,Wheel Shop,8.9,19065,No exception noted,0,None,None
LOG-1149,2026-03-30 19:15,REA-38,Reach Stacker,Wheel Shop,9.5,16031,No exception noted,0,None,None
LOG-1150,2026-03-30 04:30,FOR-48,Forklift,High-Voltage Line B,10.0,46163,Employee worked exposed live parts with no protective equipment in use,1,electrical_ppe,1910.335
LOG-1151,2026-03-30 14:43,TER-19,Terminal Tractor,Maintenance Track,8.7,59148,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1152,2026-03-30 02:16,FOR-60,Forklift,Loading Dock 2,8.1,47479,Container transferred and seals verified against the manifest,0,None,None
LOG-1153,2026-03-29 18:45,CON-40,Container Handler,Bay 2,9.0,59614,Container transferred and seals verified against the manifest,0,None,None
LOG-1154,2026-03-29 11:08,CON-86,Container Handler,Bay 1,8.1,46786,No exception noted,0,None,None
LOG-1155,2026-03-29 13:45,CON-13,Container Handler,Bay 4,9.7,18879,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1156,2026-03-29 13:48,YAR-16,Yard Hostler,Rail Siding 3,10.8,58962,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1157,2026-03-30 16:01,CON-97,Container Handler,Rail Siding 3,6.0,34513,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1158,2026-03-29 16:32,CON-66,Container Handler,Main Pedestrian Crosswalk,6.9,11084,Container transferred and seals verified against the manifest,0,None,None
LOG-1159,2026-03-30 00:33,FOR-56,Forklift,Wheel Shop,6.2,54377,Lift truck removed from service and tagged pending repair,0,None,None
LOG-1160,2026-03-29 16:40,YAR-99,Yard Hostler,Bay 2,6.3,37457,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1161,2026-03-29 14:03,REA-99,Reach Stacker,Rail Siding 3,7.4,20857,No exception noted,0,None,None
LOG-1162,2026-03-29 14:06,GAN-19,Gantry Crane,Wheel Shop,8.3,49572,Employee worked exposed live parts with no protective equipment in use,1,electrical_ppe,1910.335
LOG-1163,2026-03-30 06:27,TER-45,Terminal Tractor,Bay 1,10.5,23406,Gantry hoist operated with the periodic inspection more than a year overdue,1,crane_inspection,1910.179
LOG-1164,2026-03-29 19:40,TER-67,Terminal Tractor,Intermodal Ramp,7.0,21282,Ladder inspected before use with all rungs intact,0,None,None
LOG-1165,2026-03-30 15:00,REA-34,Reach Stacker,Maintenance Track,6.8,22915,No exception noted,0,None,None
LOG-1166,2026-03-30 01:22,YAR-87,Yard Hostler,Bay 2,6.5,41673,Stairway handrail confirmed secure during the walk-through,0,None,None
LOG-1167,2026-03-30 04:16,TER-88,Terminal Tractor,Main Pedestrian Crosswalk,11.4,39746,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1168,2026-03-29 22:48,CON-62,Container Handler,Bay 4,10.5,19073,Crane inspection records verified before the lift began,0,None,None
LOG-1169,2026-03-29 17:16,CON-43,Container Handler,Main Pedestrian Crosswalk,8.2,33645,No exception noted,0,None,None
LOG-1170,2026-03-29 14:30,TER-40,Terminal Tractor,Rail Siding 3,6.2,27342,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1171,2026-03-30 16:12,FOR-92,Forklift,High-Voltage Line B,8.7,43948,No exception noted,0,None,None
LOG-1172,2026-03-31 01:00,GAN-26,Gantry Crane,Bay 2,6.9,61060,No exception noted,0,None,None
LOG-1173,2026-03-31 01:15,FOR-71,Forklift,Maintenance Track,9.9,12982,No exception noted,0,None,None
LOG-1174,2026-03-30 11:00,CON-65,Container Handler,Maintenance Track,9.6,27393,No exception noted,0,None,None
LOG-1175,2026-03-30 05:20,TER-95,Terminal Tractor,Container Stack Row C,7.4,54775,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1176,2026-03-30 11:20,TER-34,Terminal Tractor,Rail Siding 3,8.9,48104,No exception noted,0,None,None
LOG-1177,2026-03-29 20:45,TER-94,Terminal Tractor,High-Voltage Line B,7.1,24783,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1178,2026-03-30 02:46,CON-94,Container Handler,Container Stack Row C,11.6,58420,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1179,2026-03-30 05:52,REA-51,Reach Stacker,Intermodal Ramp,10.6,12987,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1180,2026-03-30 06:00,REA-84,Reach Stacker,Bay 1,10.2,35257,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1181,2026-03-30 00:06,TER-80,Terminal Tractor,Bay 2,10.8,60989,No exception noted,0,None,None
LOG-1182,2026-03-30 03:14,TER-27,Terminal Tractor,Bay 4,11.9,20801,Scheduled sensor calibration completed on the spreader,0,None,None
LOG-1183,2026-03-31 00:42,TER-24,Terminal Tractor,Maintenance Track,9.4,32556,Work performed on an energised circuit without insulating gloves issued,1,electrical_ppe,1910.335
LOG-1184,2026-03-30 03:28,FOR-63,Forklift,Rail Siding 3,6.7,24039,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1185,2026-03-29 18:20,TER-82,Terminal Tractor,Main Pedestrian Crosswalk,6.4,39641,No exception noted,0,None,None
LOG-1186,2026-03-29 21:30,REA-33,Reach Stacker,Rail Siding 3,7.6,36718,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1187,2026-03-29 12:14,CON-76,Container Handler,Bay 4,9.6,11056,Container transferred and seals verified against the manifest,0,None,None
LOG-1188,2026-03-30 22:44,TER-64,Terminal Tractor,Loading Dock 2,7.5,35876,Tyre pressure indicator illuminated and reinflated at the air station,0,None,None
LOG-1189,2026-03-30 00:54,REA-35,Reach Stacker,Maintenance Track,7.0,34776,Container transferred and seals verified against the manifest,0,None,None
LOG-1190,2026-03-31 05:30,REA-32,Reach Stacker,Intermodal Ramp,6.5,44128,No exception noted,0,None,None
LOG-1191,2026-03-30 04:17,FOR-45,Forklift,Maintenance Track,10.4,10908,No exception noted,0,None,None
LOG-1192,2026-03-30 17:12,GAN-64,Gantry Crane,Container Stack Row C,11.6,23618,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1193,2026-03-30 07:44,FOR-69,Forklift,Wheel Shop,6.6,46763,No exception noted,0,None,None
LOG-1194,2026-03-30 11:06,FOR-46,Forklift,Main Pedestrian Crosswalk,7.9,50244,No exception noted,0,None,None
LOG-1195,2026-03-29 12:30,FOR-26,Forklift,Bay 1,7.6,27186,Container transferred and seals verified against the manifest,0,None,None
LOG-1196,2026-03-30 21:12,GAN-98,Gantry Crane,Main Pedestrian Crosswalk,8.5,14128,Routine load imbalance alarm cleared after twistlock engagement,0,None,None
LOG-1197,2026-03-29 19:08,FOR-30,Forklift,Container Stack Row C,8.4,49119,No exception noted,0,None,None
LOG-1198,2026-03-29 22:30,GAN-22,Gantry Crane,Intermodal Ramp,10.2,15908,Mast raised inside the approach boundary of a live overhead line,1,approach_distance,1910.333
